,Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
34,Elliot Anderson ,Midfielder,1,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,1,1.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
35,Florin Andone ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
36,André Gomes ,Midfielder,28,,,35,66%,,5,10,10,6,,126,99,137,31,20,14,,0,1,876,31.29,2,23,17%,2,57,3,0,35,2,0,0,0,0,0,0.00,0,0,14,3,21%,0,,,,,,,,
37,Andreas Pereira ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
38,Faustino Anjorin ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
39,Michail Antonio ,Forward,26,,,7,57%,,14,7,7,6,,51,161,211,43,73,89,,0,5,453,17.42,3,31,6%,0,13,3,0,29,15,10,2,6,2,6,0.38,0,0,63,25,40%,9,,,,,,,,
40,Cameron Archer ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
41,Alphonse Areola ,Goalkeeper,36,9,48,,,,,,,,,,,,,,,0,2,0,838,23.28,,,,,157,2,0,0,,0,,,,,,,,,,,,116,0,26,22,5,5,173,251
42,Stuart Armstrong ,Midfielder,33,,,60,68%,,20,24,19,9,,175,171,203,68,8,17,,0,5,"1,236",37.45,4,40,18%,2,34,3,0,34,4,4,0,2,2,1,0.12,0,0,55,11,20%,1,,,,,,,,
43,Kepa Arrizabalaga ,Goalkeeper,7,2,8,,,,,,,,,,,,,,,0,3,0,205,29.29,,,,,36,1,0,0,,0,,,,,,,,,,,,16,0,4,3,1,1,41,46
44,Harry Arter ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
45,Harrison Ashby ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
46,Luca Ashby-Hammond ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
47,Ryan Astley ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
48,Christian Atsu ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
49,Pierre-Emerick Aubameyang ,Forward,29,,,12,,,13,7,15,4,,,,,,,,,,3,624,21.52,3,38,,,,2,0,13,17,10,1,8,1,2,0.34,2,0,57,22,39%,7,,,,,,,,
50,Serge Aurier ,Defender,19,4,22,55,60%,0,1,19,41,24,0,111,123,115,17,37,40,0,0,3,792,41.68,6,35,29%,1,21,0,0,23,1,2,1,1,0,0,,,,,,,,,,,,,,,
51,Brandon Austin ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
52,Taiwo Awoniyi ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
53,Jordan Ayew ,Forward,33,,,38,,,12,16,10,8,,,,,,,,,,3,633,19.18,0,31,,,,4,0,45,5,1,0,1,0,0,0.03,0,0,26,11,42%,2,,,,,,,,
54,Luke Ayling ,Defender,38,11,54,108,56%,0,10,36,77,39,1,279,268,171,41,66,65,0,0,0,"2,381",62.66,5,82,17%,4,175,7,0,29,2,0,0,0,0,0,,,,,,,,,,,,,,,
55,Finn Azaz ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
56,Miguel Azeez ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
57,César Azpilicueta ,Defender,26,12,20,53,53%,0,1,28,59,33,0,131,128,107,6,55,44,0,0,2,"1,887",72.58,3,37,19%,3,39,5,1,32,5,1,0,1,0,0,,,,,,,,,,,,,,,
58,Eric Bailly ,Defender,12,3,17,5,100%,0,1,13,36,22,0,73,37,27,4,24,17,0,1,0,562,46.83,0,0,0%,0,20,3,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,
59,Leighton Baines ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
60,Tiemoué Bakayoko ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
61,Lewis Baker ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
62,Fabián Balbuena ,Defender,14,4,19,24,50%,0,1,25,62,40,1,73,49,39,1,21,17,0,0,0,482,34.43,0,3,0%,1,43,1,1,12,0,1,1,0,0,1,,,,,,,,,,,,,,,
63,George Baldock ,Defender,32,4,51,47,72%,1,8,25,62,34,1,127,111,139,17,26,28,0,0,2,897,28.03,5,62,16%,1,21,7,0,46,10,0,0,0,0,0,,,,,,,,,,,,,,,
64,Gareth Bale ,Forward,20,,,17,,,6,8,14,10,,,,,,,,,,2,366,18.30,2,40,,,,1,0,9,5,11,2,1,8,2,0.55,0,0,38,19,50%,2,,,,,,,,
65,Danny Ballard ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
66,Folarin Balogun ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
67,Patrick Bamford ,Forward,38,,,21,,,17,10,37,29,,,,,,,,,,7,509,13.39,5,3,,,,3,0,36,18,17,2,2,13,4,0.45,2,0,107,48,45%,21,,,,,,,,
68,Beni Baningime ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
69,Jamal Baptiste ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
70,Phil Bardsley ,Defender,4,0,8,6,83%,0,0,6,12,8,0,14,19,15,3,7,2,0,0,0,109,27.25,0,10,20%,0,5,2,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,
71,Ross Barkley ,Midfielder,26,,,6,33%,,13,5,6,3,,76,78,95,30,23,23,,0,1,753,28.96,6,61,31%,0,37,0,0,14,6,3,1,1,1,2,0.12,0,0,39,12,31%,3,,,,,,,,
72,Daniel Barlaser ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
73,Ashley Barnes ,Forward,22,,,12,,,12,5,11,3,,,,,,,,,,0,304,13.82,0,8,,,,4,0,46,17,3,1,1,1,0,0.14,1,0,38,13,34%,3,,,,,,,,
74,Louie Barry ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
75,Kyle Bartley ,Defender,30,4,53,27,59%,0,2,38,158,102,1,137,144,100,4,107,58,0,1,1,827,27.57,2,1,0%,0,52,4,0,30,5,3,1,2,0,0,,,,,,,,,,,,,,,
76,Chris Basham ,Defender,31,2,51,69,61%,0,2,49,103,62,5,158,172,138,21,55,61,0,0,1,"1,057",34.10,1,25,24%,0,38,5,0,25,6,0,0,0,0,1,,,,,,,,,,,,,,,
77,Lewis Bate ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
78,Michy Batshuayi ,Forward,18,,,5,,,2,4,5,4,,,,,,,,,,1,167,9.28,2,5,,,,0,0,12,11,2,0,0,2,0,0.11,0,0,12,6,50%,3,,,,,,,,
79,Nathan Baxter ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
80,Jack Bearne ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
81,Jan Bednarek ,Defender,36,9,59,37,51%,0,0,84,132,73,1,205,150,113,5,97,53,1,0,1,"2,068",57.44,1,0,0%,0,82,5,1,30,0,1,1,0,0,0,,,,,,,,,,,,,,,
82,Héctor Bellerín ,Defender,25,7,24,29,66%,0,6,33,31,21,0,91,79,98,12,31,30,0,0,2,"1,114",44.56,4,54,22%,2,18,8,0,21,1,1,0,1,0,0,,,,,,,,,,,,,,,
83,Filip Benkovic ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
84,Ryan Bennett ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
85,Saïd Benrahma ,Forward,30,,,24,,,7,8,4,0,,,,,,,,,,6,484,16.13,5,44,,,,0,0,14,2,1,0,1,0,0,0.03,0,0,35,12,34%,3,,,,,,,,
86,Josh Benson ,Midfielder,6,,,5,20%,,1,3,2,1,,18,10,22,2,2,5,,0,0,79,13.17,0,5,0%,0,1,0,0,4,0,0,0,0,0,0,0.00,0,0,2,0,0%,0,,,,,,,,
87,Nabil Bentaleb ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
88,Christian Benteke ,Forward,30,,,15,,,10,4,39,34,,,,,,,,,,1,575,19.17,0,3,,,,1,1,35,14,10,6,2,2,3,0.33,0,0,71,34,48%,5,,,,,,,,
89,Gaetano Berardi ,Defender,2,0,0,2,100%,0,1,1,2,2,0,7,6,4,0,4,3,0,0,0,55,27.50,0,1,0%,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
90,Sander Berge ,Midfielder,15,,,16,44%,,3,4,18,10,,68,56,61,20,17,15,,0,1,436,29.07,2,23,9%,0,15,4,0,14,2,1,0,1,0,0,0.07,1,0,10,2,20%,0,,,,,,,,
91,Steven Bergwijn ,Forward,21,,,15,,,1,5,7,0,,,,,,,,,,3,416,19.81,0,13,,,,3,0,20,1,1,0,1,0,1,0.05,0,0,15,6,40%,5,,,,,,,,
92,Adrián Bernabé ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
93,Bernard ,Forward,12,,,8,,,2,8,5,1,,,,,,,,,,0,252,21.00,0,14,,,,2,0,6,0,1,0,1,0,0,0.08,0,0,6,2,33%,0,,,,,,,,
94,Bernardo ,Defender,3,0,3,10,80%,0,2,1,1,1,0,7,18,17,0,7,7,0,0,0,74,24.67,0,5,20%,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
95,Bernardo Rosa ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
96,Bernardo Silva ,Midfielder,26,,,26,54%,,6,17,6,2,,113,98,135,41,13,31,,0,6,"1,372",52.77,8,32,9%,1,50,5,0,17,2,2,0,0,2,2,0.08,0,0,28,13,46%,3,,,,,,,,
97,Ryan Bertrand ,Defender,29,8,51,60,53%,1,0,30,37,20,0,89,135,110,3,38,54,0,1,1,"1,197",41.28,1,82,17%,0,24,5,0,29,3,0,0,0,0,0,,,,,,,,,,,,,,,
98,Muhamed Besic ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
99,Marcus Bettinelli ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
100,Nathan Bishop ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
101,Yves Bissouma ,Midfielder,36,,,104,65%,,12,64,64,38,,271,227,157,53,38,22,,0,0,"1,685",46.81,1,7,14%,2,75,8,1,55,0,1,0,1,0,0,0.03,0,0,42,3,7%,0,,,,,,,,
102,Lamar Bogarde ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
103,Jayden Bogle ,Defender,16,2,20,33,70%,0,4,14,18,10,0,64,71,93,11,18,23,0,0,0,312,19.50,0,12,8%,0,4,2,0,15,1,2,0,0,2,0,,,,,,,,,,,,,,,
104,Mateusz Bogusz ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
105,Tolaji Bola ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
106,Yannick Bolasie ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
107,Willy Boly ,Defender,21,6,29,33,61%,0,4,32,83,49,0,88,100,53,4,57,26,0,0,1,"1,036",49.33,1,0,0%,0,39,2,0,15,0,1,0,1,0,1,,,,,,,,,,,,,,,
108,Jonathan Bond ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
109,Sofiane Boufal ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
110,Jamie Bowden ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
111,Jarrod Bowen ,Forward,38,,,26,,,23,22,5,2,,,,,,,,,,5,620,16.32,11,122,,,,0,0,15,15,8,0,1,5,0,0.21,0,0,55,16,29%,7,,,,,,,,
112,Morgan Boyes ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
113,Robbie Brady ,Midfielder,19,,,22,68%,,5,9,25,19,,80,61,78,11,19,21,,1,1,351,18.47,2,43,16%,2,24,3,0,21,1,1,0,1,0,0,0.05,0,0,16,5,31%,0,,,,,,,,
114,Jarrad Branthwaite ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
115,Claudio Bravo ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
116,Rhian Brewster ,Forward,27,,,8,,,9,5,4,0,,,,,,,,,,0,207,7.67,4,16,,,,1,0,18,4,0,0,0,0,1,0.00,0,0,24,8,33%,2,,,,,,,,
117,Mungo Bridge ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
118,George Broadbent ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
119,Nathan Broadhead ,Midfielder,1,,,1,100%,,0,0,0,0,,0,1,0,0,0,0,,0,0,2,2.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
120,Armando Broja ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
121,Josh Brownhill ,Midfielder,33,,,45,60%,,10,69,37,16,,195,155,135,15,65,54,,0,1,"1,172",35.52,0,17,24%,1,33,2,0,36,2,0,0,0,0,1,0.00,0,0,34,7,21%,0,,,,,,,,
122,Bruno Fernandes ,Midfielder,37,,,57,53%,,37,26,27,16,,162,147,217,23,16,43,,0,12,"2,112",57.08,20,166,25%,12,142,6,0,43,3,18,1,16,1,3,0.49,9,0,121,51,42%,8,,,,,,,,
123,Bruno Jordão ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
